1,天海春香,春香
2,如月千早,千早
3,星井美希,美希
4,萩原雪歩,雪歩
5,高槻やよい,やよい
6,菊地真,真
7,水瀬伊織,伊織
8,四条貴音,貴音
9,秋月律子,律子
10,三浦あずさ,あずさ
11,双海亜美,亜美
12,双海真美,真美
13,我那覇響,響
14,春日未来,未来
15,最上静香,静香
16,伊吹翼,翼
17,田中琴葉,琴葉
18,島原エレナ,エレナ
19,佐竹美奈子,美奈子
20,所恵美,恵美
21,徳川まつり,まつり
22,箱崎星梨花,星梨花
23,野々原茜,茜
24,望月杏奈,杏奈
25,ロコ,ロコ
26,七尾百合子,百合子
27,高山紗代子,紗代子
28,松田亜利沙,亜利沙
29,高坂海美,海美
30,中谷育,育
31,天空橋朋花,朋花
32,エミリー,エミリー
33,北沢志保,志保
34,舞浜歩,歩
35,木下ひなた,ひなた
36,矢吹可奈,可奈
37,横山奈緒,奈緒
38,二階堂千鶴,千鶴
39,馬場このみ,このみ
40,大神環,環
41,豊川風花,風花
42,宮尾美也,美也
43,福田のり子,のり子
44,真壁瑞希,瑞希
45,篠宮可憐,可憐
46,百瀬莉緒,莉緒
47,永吉昴,昴
48,北上麗花,麗花
49,周防桃子,桃子
50,ジュリア,ジュリア
51,白石紬,紬
52,桜守歌織,歌織
53,青羽美咲,美咲
